# 再生成: nsys stats --force-export=true --report cuda_gpu_kern_sum --report cuda_gpu_mem_time_sum --report cuda_api_sum ablation_H1W1A1.nsys-rep
# nsys 2025.5.1.121-255136380782v0 / checkpoint 88faffa / 元 .nsys-rep 不変

Processing [ablation_H1W1A1.sqlite] with [/work/opt/local/aarch64/cores/nvidia/25.9/Linux_aarch64/25.9/profilers/13.0/Nsight_Systems/host-linux-armv8/reports/cuda_gpu_kern_sum.py]... 

 ** CUDA GPU Kernel Summary (cuda_gpu_kern_sum):

 Time (%)  Total Time (ns)  Instances    Avg (ns)      Med (ns)    Min (ns)    Max (ns)   StdDev (ns)                                                  Name                                                
 --------  ---------------  ---------  ------------  ------------  ---------  ----------  -----------  ----------------------------------------------------------------------------------------------------
     60.9    3,924,708,323        222  17,678,866.3  17,207,824.0  8,588,800  29,338,976  1,984,721.8  void brandes_back_kernel_opt<(bool)1>(int *, int *, double *, int, int, int *, double *, double *, …
     39.1    2,523,298,594        222  11,366,209.9  10,962,256.0  5,496,576  16,287,872  1,798,011.3  void brandes_bfs_kernel_opt<(bool)1>(int *, int *, int, int, int *, int *, double *, int *, int *, …

Processing [ablation_H1W1A1.sqlite] with [/work/opt/local/aarch64/cores/nvidia/25.9/Linux_aarch64/25.9/profilers/13.0/Nsight_Systems/host-linux-armv8/reports/cuda_gpu_mem_time_sum.py]... 

 ** CUDA GPU MemOps Summary (by Time) (cuda_gpu_mem_time_sum):

 Time (%)  Total Time (ns)  Count  Avg (ns)  Med (ns)  Min (ns)  Max (ns)  StdDev (ns)               Operation              
 --------  ---------------  -----  --------  --------  --------  --------  -----------  ------------------------------------
     99.8       43,827,808    666  65,807.5  79,680.0     6,816   112,640     20,062.8  [CUDA memset]                       
      0.2           71,008     14   5,072.0   4,096.0     2,880    10,816      2,598.2  [CUDA memcpy Unified Host-to-Device]
      0.1           37,852     18   2,102.9   1,904.0     1,791     2,752        322.6  [CUDA memcpy Unified Device-to-Host]

Processing [ablation_H1W1A1.sqlite] with [/work/opt/local/aarch64/cores/nvidia/25.9/Linux_aarch64/25.9/profilers/13.0/Nsight_Systems/host-linux-armv8/reports/cuda_api_sum.py]... 

 ** CUDA API Summary (cuda_api_sum):

 Time (%)  Total Time (ns)  Num Calls    Avg (ns)      Med (ns)    Min (ns)    Max (ns)   StdDev (ns)               Name             
 --------  ---------------  ---------  ------------  ------------  ---------  ----------  -----------  ------------------------------
     98.0    3,222,120,576        218  14,780,369.6  14,281,664.0  9,076,800  26,665,312  2,523,507.9  cudaEventSynchronize          
      1.0       31,435,520          4   7,858,880.0   7,065,840.0      1,472  17,302,368  9,164,893.8  cudaStreamSynchronize         
      0.5       16,682,048         40     417,051.2     500,064.0      6,144   1,030,944    365,227.5  cudaFree                      
      0.2        7,878,656          2   3,939,328.0   3,939,328.0  3,543,200   4,335,456    560,209.6  cudaDeviceSynchronize         
      0.1        1,785,536         40      44,638.4      11,200.0      2,304     576,640    115,291.6  cudaMallocManaged             
      0.1        1,778,752        666       2,670.8       2,432.0      1,888      29,824      1,401.1  cudaMemsetAsync               
      0.0        1,342,656          4     335,664.0     139,584.0      6,368   1,057,120    495,878.4  cudaStreamCreate              
      0.0        1,142,272         38      30,059.8       2,960.0      1,920     391,072     85,225.1  cudaMemPrefetchAsync_v12020   
      0.0        1,133,920        444       2,553.9       2,208.0      1,824      96,928      4,557.8  cudaLaunchKernel              
      0.0          767,232        666       1,152.0       1,120.0        896       5,760        289.2  cudaEventRecord               
      0.0           69,728          1      69,728.0      69,728.0     69,728      69,728          0.0  cuLibraryLoadData             
      0.0           53,568          2      26,784.0      26,784.0     25,312      28,256      2,081.7  cudaMemGetInfo                
      0.0           23,872          4       5,968.0       5,984.0      4,992       6,912        854.5  cudaStreamDestroy             
      0.0           20,864        444          47.0          32.0         32         128         17.5  cuKernelGetName               
      0.0           11,232         12         936.0         672.0        288       2,336        696.6  cudaEventCreate               
      0.0           10,208         12         850.7         640.0        352       1,984        506.0  cudaEventDestroy              
      0.0            2,880          2       1,440.0       1,440.0        480       2,400      1,357.6  cudaGetDeviceProperties_v12000
      0.0            1,184          2         592.0         592.0        576         608         22.6  cuLibraryGetKernel            
      0.0              928          1         928.0         928.0        928         928          0.0  cuModuleGetLoadingMode        

