CurrentPath	Classification	Reason	TargetPath	SHA256	UsedInThesis	DerivedConsumers	Action
failure/MANIFEST.tsv	documentation	README/SOURCE/索引/主張文書	failure/MANIFEST.tsv	0208b6181ed34db5eaa91253df048cc13c1b235d449d6cf123c867adbf1c0c8c	no		keep_in_failure
failure/README.md	documentation	README/SOURCE/索引/主張文書	failure/README.md	4110678aaa4fd809696b98d362e4cacc02067a1d44719138a1c6b791b96b7822	no		keep_in_failure
failure/early_terminated/memory_correctness_2368398/MANIFEST.txt	raw	runner/PBS 直接出力 (stdout/stderr/測定TSV/ログ/nsys/job manifest)	raw_data/unsuccessful/early_terminated/memory_paths/325557_3216152/_job/job_2368398_20260712/MANIFEST.txt	58a5f4ad88832d64637a9e52f3fd692c70fe218a0eadabbbec2326035fb169a3	no	failure/MANIFEST.tsv; failure/*/correctness_summary.tsv	move_to_raw_data
failure/early_terminated/memory_correctness_2368398/correctness_summary.tsv	failure_summary	失敗要約 (correctness summary)	failure/early_terminated/memory_correctness_2368398/correctness_summary.tsv	9f8fa59d207b1815b613c1416a5b7437be15deccd09970c48ce8fa2502ae6217	no		keep_in_failure
failure/early_terminated/memory_correctness_2368398/gpu_opt_pure_b1024.stderr.log	raw	runner/PBS 直接出力 (stdout/stderr/測定TSV/ログ/nsys/job manifest)	raw_data/unsuccessful/early_terminated/memory_paths/325557_3216152/gpu_opt_pure/pure_b1024/job_2368398_20260712/gpu_opt_pure_b1024.stderr.log	d8b1242c4934b7f0cbb04c73ed1f1238bfcb5d9b30f31f06439ed05901e03a12	no	failure/MANIFEST.tsv; failure/*/correctness_summary.tsv	move_to_raw_data
failure/early_terminated/memory_correctness_2368398/gpu_opt_pure_b1024_vs_reference.md	failure_summary	比較 Markdown (派生)	failure/early_terminated/memory_correctness_2368398/gpu_opt_pure_b1024_vs_reference.md	c6ffbbcb85bedff451819a70d987b7711f5ea22460c8887b8679d0f3f5910f18	no		keep_in_failure
failure/early_terminated/memory_correctness_2368398/pathmerge_b4096.stderr.log	raw	runner/PBS 直接出力 (stdout/stderr/測定TSV/ログ/nsys/job manifest)	raw_data/unsuccessful/early_terminated/memory_paths/325557_3216152/pathmerge_bc/pathmerge_b4096/job_2368398_20260712/pathmerge_b4096.stderr.log	7c699d161e2e2cc6c21caa529f7cd158e6c55a94f9a00e2b69c9a7e87a8e0f1b	no	failure/MANIFEST.tsv; failure/*/correctness_summary.tsv	move_to_raw_data
failure/early_terminated/memory_correctness_2368398/run.log	raw	runner/PBS 直接出力 (stdout/stderr/測定TSV/ログ/nsys/job manifest)	raw_data/unsuccessful/early_terminated/memory_paths/325557_3216152/_job/job_2368398_20260712/run.log	93b9f51f4d06991a03421d47d1e9fc8fcdfe79f1b896d5ef3bd94413fa5c43fe	no	failure/MANIFEST.tsv; failure/*/correctness_summary.tsv	move_to_raw_data
failure/early_terminated/pathmerge_sweep_2359080_roadNet-PA/pathmerge_sweep.log	raw	runner/PBS 直接出力 (stdout/stderr/測定TSV/ログ/nsys/job manifest)	raw_data/unsuccessful/early_terminated/pathmerge_sweep/roadNet-PA/job_2359080_20260711/pathmerge_sweep.log	59418cba3c0d6e52b8c25a350cb33f37e18795756c7e166bc041553e0f8e6f29	no	failure/MANIFEST.tsv; failure/*/correctness_summary.tsv	move_to_raw_data
failure/early_terminated/pathmerge_sweep_2359080_roadNet-PA/pathmerge_sweep_results.tsv	raw	runner/PBS 直接出力 (stdout/stderr/測定TSV/ログ/nsys/job manifest)	raw_data/unsuccessful/early_terminated/pathmerge_sweep/roadNet-PA/job_2359080_20260711/pathmerge_sweep_results.tsv	b39b2f4f6a8a25a9a3a8a6d23c03166db0a6a1f626d9b429a5dc3a9a8e489760	no	failure/MANIFEST.tsv; failure/*/correctness_summary.tsv	move_to_raw_data
failure/early_terminated/pathmerge_sweep_2359096_email-EuAll/pathmerge_sweep.log	raw	runner/PBS 直接出力 (stdout/stderr/測定TSV/ログ/nsys/job manifest)	raw_data/unsuccessful/early_terminated/pathmerge_sweep/email-EuAll/job_2359096_20260711/pathmerge_sweep.log	44bb21b519df36a7d7a2a92e1f7586e326d085c96326e7daef9baaec0aa84abc	no	failure/MANIFEST.tsv; failure/*/correctness_summary.tsv	move_to_raw_data
failure/early_terminated/pathmerge_sweep_2359096_email-EuAll/pathmerge_sweep_results.tsv	raw	runner/PBS 直接出力 (stdout/stderr/測定TSV/ログ/nsys/job manifest)	raw_data/unsuccessful/early_terminated/pathmerge_sweep/email-EuAll/job_2359096_20260711/pathmerge_sweep_results.tsv	4ac33b396d3c088f68a594ca960531c891253d327a4798807f99f45998e7b15b	no	failure/MANIFEST.tsv; failure/*/correctness_summary.tsv	move_to_raw_data
failure/failed/oom/memory_correctness_2368269/MANIFEST.txt	raw	runner/PBS 直接出力 (stdout/stderr/測定TSV/ログ/nsys/job manifest)	raw_data/unsuccessful/oom/memory_paths/325557_3216152/_job/job_2368269_20260712/MANIFEST.txt	0a0adb3b512995de27a2add7f390f194eaaf29b472929234459c2ee99bd15b69	no	failure/MANIFEST.tsv; failure/*/correctness_summary.tsv	move_to_raw_data
failure/failed/oom/memory_correctness_2368269/correctness_summary.tsv	failure_summary	失敗要約 (correctness summary)	failure/failed/oom/memory_correctness_2368269/correctness_summary.tsv	f81215ae94a45a39bc5a39e3b9ed21e203865d80cb5af936d2052385da680aa7	no		keep_in_failure
failure/failed/oom/memory_correctness_2368269/gpu_opt_b10240.stderr.log	raw	runner/PBS 直接出力 (stdout/stderr/測定TSV/ログ/nsys/job manifest)	raw_data/unsuccessful/oom/memory_paths/325557_3216152/gpu_opt/um_b10240/job_2368269_20260712/gpu_opt_b10240.stderr.log	3b265304753feca4b45f3d35cbacd29b73f2c03bb862b8c3d1eaca9b25fb9f52	no	failure/MANIFEST.tsv; failure/*/correctness_summary.tsv	move_to_raw_data
failure/failed/oom/memory_correctness_2368269/pathmerge_b4096.stderr.log	raw	runner/PBS 直接出力 (stdout/stderr/測定TSV/ログ/nsys/job manifest)	raw_data/unsuccessful/oom/memory_paths/325557_3216152/pathmerge_bc/pathmerge_b4096/job_2368269_20260712/pathmerge_b4096.stderr.log	9d5f5998edf03417c0ba4668770c02d383266ad9dfd3a2c2e8779c00d07bcd8f	no	failure/MANIFEST.tsv; failure/*/correctness_summary.tsv	move_to_raw_data
failure/failed/oom/memory_correctness_2368269/run.log	raw	runner/PBS 直接出力 (stdout/stderr/測定TSV/ログ/nsys/job manifest)	raw_data/unsuccessful/oom/memory_paths/325557_3216152/_job/job_2368269_20260712/run.log	e8c01f06ae621a7315506e871c238c8b96e61bd16434088b4a53229c76c23afd	no	failure/MANIFEST.tsv; failure/*/correctness_summary.tsv	move_to_raw_data
failure/incomplete/ablation_H1W1A1.stats.txt	raw	runner/PBS 直接出力 (stdout/stderr/測定TSV/ログ/nsys/job manifest)	raw_data/unsuccessful/failed/profiling/ablation_H1W1A1_incomplete/job_2359175_20260711/ablation_H1W1A1.stats.txt	ecc82d6e51d065fea8f2219f4a9dd058480f8834630222c5cd099b6ba11d6868	no	result/ablation/*/ablation_summary.md; result/ablation/*/ablation_contributions.tsv	move_to_raw_data
failure/superseded_success/final_speedup_tables_OLD.md	failure_summary	旧世代の superseded 派生表	failure/superseded_success/final_speedup_tables_OLD.md	a28c0dae14102a52409a6e63c5ee0194bd4c9c1b0d5d87ccfab2331cc342f5de	no		keep_in_failure
failure/superseded_success/legacy_shared_tables/large/gpu_opt_and_gpu_opt_pure_chunked/speedup_table.md	derived	解析・集計・比較の後処理生成物	failure/superseded_success/legacy_shared_tables/large/gpu_opt_and_gpu_opt_pure_chunked/speedup_table.md	02f13392a9574a7e71039ca326c3a30b0a3aed5626b009be3333fc561f0ecc5f	no		keep_in_failure
failure/superseded_success/legacy_shared_tables/large/gpu_opt_and_gpu_opt_pure_chunked/summary_table.md	derived	解析・集計・比較の後処理生成物	failure/superseded_success/legacy_shared_tables/large/gpu_opt_and_gpu_opt_pure_chunked/summary_table.md	1f1bc2803db47c50e056acb2b75965355f6da692127a8eb160af1f76c9a5636b	no		keep_in_failure
failure/superseded_success/legacy_shared_tables/large/speedup_table_no_gpu_opt.md	derived	解析・集計・比較の後処理生成物	failure/superseded_success/legacy_shared_tables/large/speedup_table_no_gpu_opt.md	027d203505c3b72c71b0dcf33a504b54a3270df7a9b581555780db0d37845321	no		keep_in_failure
failure/superseded_success/legacy_shared_tables/large/summary_table_no_gpu_opt.md	derived	解析・集計・比較の後処理生成物	failure/superseded_success/legacy_shared_tables/large/summary_table_no_gpu_opt.md	9dec529160a9adc65f8795803be8ac2e7e7edf9ec5b5668ae20d7c9f948ad6c1	no		keep_in_failure
result/CLAIMS.md	documentation	README/SOURCE/索引/主張文書	result/CLAIMS.md	2b715cbf901cd6b76e8a6b5c123c544a18f937f49a64c6151b04b0e092c4b28a	yes		keep_in_result
result/COVERAGE.md	documentation	README/SOURCE/索引/主張文書	result/COVERAGE.md	eef18516902984be4df933d72f74b77e49cf9b426dfe1a153f723d3b471bcb69	yes		keep_in_result
result/EXTERNAL_ARTIFACTS.tsv	documentation	README/SOURCE/索引/主張文書	result/EXTERNAL_ARTIFACTS.tsv	092f72c10ed50de4313f1a5883716bc8a559cbf82cd7c76829fed6d56a72a8a8	yes		keep_in_result
result/MANIFEST.md	documentation	README/SOURCE/索引/主張文書	result/MANIFEST.md	c01268cc13d70fd3c1b4e285e349853e0cc14095e3ee53c7ba64e5ce4565a845	yes		keep_in_result
result/MIGRATION_MAP.tsv	documentation	README/SOURCE/索引/主張文書	result/MIGRATION_MAP.tsv	5ea729eb09c7fa2d3af4847e0ac5376a99e652153619cfb8cb8ca752fc9f29d2	yes		keep_in_result
result/README.md	documentation	README/SOURCE/索引/主張文書	result/README.md	4c33795b70bbef7308ce86174e5e924be9339612bd77c0fbc30d2a165b9fe3f4	yes		keep_in_result
result/TABLES_AND_FIGURES.md	derived	解析・集計・比較の後処理生成物	result/TABLES_AND_FIGURES.md	6f3cf3bf9450b2f375e537a3c70b1fe9ab03c045a7512acbe0ff4a61f137a551	yes		keep_in_result
result/ablation/email_2354999/SOURCE.md	documentation	README/SOURCE/索引/主張文書	result/ablation/email_2354999/SOURCE.md	b1ae560b63f6cb4380e5dee8ce9bf328ea653bd3b4444ee31e012386f9f7bc69	yes		keep_in_result
result/ablation/email_2354999/ablation.log	raw	runner/PBS 直接出力 (stdout/stderr/測定TSV/ログ/nsys/job manifest)	raw_data/ablation/email-EuAll/job_2354999_20260710/ablation.log	80318d132bba03f6fc07e3338cc3e86ac62a038df3bf440535f155306af650a1	yes	result/ablation/*/ablation_summary.md; result/ablation/*/ablation_contributions.tsv	move_to_raw_data
result/ablation/email_2354999/ablation_contributions.tsv	derived	解析・集計・比較の後処理生成物	result/ablation/email_2354999/ablation_contributions.tsv	5974a5d9a15bc6e1ce86d27b75e04b094049aad3b502ed6bf7030c2e35e1d827	yes		keep_in_result
